,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
158876,17306854,Flat,7300000,Karachi,Sindh,25.013015,67.314401,2,2,2019-07-17,Mars Associates,Rana Zaheer Ahmed,11434.542,2019,7,2019-07-01
158877,17306857,Flat,6400000,Karachi,Sindh,25.020961,67.321172,2,2,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,11434.542,2019,7,2019-07-01
158878,17306893,Flat,6300000,Karachi,Sindh,25.020961,67.321172,2,2,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,11434.542,2019,7,2019-07-01
158879,17306899,House,17000000,Karachi,Sindh,25.009119,67.307179,3,3,2019-07-17,Mars Associates,Noman Khalid,16607.310999999998,2019,7,2019-07-01
158880,17306908,Flat,6200000,Karachi,Sindh,25.020961,67.321172,2,2,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,11434.542,2019,7,2019-07-01
158881,17306910,House,14500000,Karachi,Sindh,25.058062,67.306626,3,3,2019-07-17,Mars Associates,Rana Toqeer Ahmed,2178.008,2019,7,2019-07-01
158882,17306924,Flat,12400000,Karachi,Sindh,25.020961,67.321172,3,3,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,2722.51,2019,7,2019-07-01
158883,17306958,Flat,12300000,Karachi,Sindh,25.020961,67.321172,3,3,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,2722.51,2019,7,2019-07-01
158884,17306985,Flat,12200000,Karachi,Sindh,25.020961,67.321172,3,3,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,2722.51,2019,7,2019-07-01
158885,17307004,Flat,12100000,Karachi,Sindh,25.020961,67.321172,3,3,2019-07-17,Al Hafiz Estate,Sharif Haris Khan,2722.51,2019,7,2019-07-01
158886,17307026,Upper Portion,1800000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
158887,17307028,Upper Portion,1800000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
158888,17307029,Upper Portion,1800000,Karachi,Sindh,24.903253,67.052279,1,1,2019-07-17,Invest Property Point,Tasneem Sheikh,4900.518,2019,7,2019-07-01
